Unnamed: 0,Year,Rank,Title,Artist,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
23,2012,24,Titanium,David Guetta feat Sia,6B2qquhSRTLCeSyoQpEcgf,0,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,audio_features,6B2qquhSRTLCeSyoQpEcgf,spotify:track:6B2qquhSRTLCeSyoQpEcgf,https://api.spotify.com/v1/tracks/6B2qquhSRTLCeSyoQpEcgf,https://api.spotify.com/v1/audio-analysis/6B2qquhSRTLCeSyoQpEcgf,245040,4
24,2012,25,I Won't Give Up,Jason Mraz,53QF56cjZA9RTuuMZDrSA6,67,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,audio_features,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166,3
25,2012,26,It Will Rain,Bruno Mars,0RUGuh2uSNFJpGMSsD1F5C,66,0.576,0.835,2,-6.826,1,0.0486,0.337,0.0,0.082,0.476,150.017,audio_features,0RUGuh2uSNFJpGMSsD1F5C,spotify:track:0RUGuh2uSNFJpGMSsD1F5C,https://api.spotify.com/v1/tracks/0RUGuh2uSNFJpGMSsD1F5C,https://api.spotify.com/v1/audio-analysis/0RUGuh2uSNFJpGMSsD1F5C,257720,4
26,2012,27,Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",0nGcboaP9bA3c55gXshgEo,1,0.772,0.297,8,-20.277,1,0.0752,0.0203,0.864,0.111,0.502,136.018,audio_features,0nGcboaP9bA3c55gXshgEo,spotify:track:0nGcboaP9bA3c55gXshgEo,https://api.spotify.com/v1/tracks/0nGcboaP9bA3c55gXshgEo,https://api.spotify.com/v1/audio-analysis/0nGcboaP9bA3c55gXshgEo,294706,4
27,2012,28,Boyfriend,Justin Bieber,2mItCPWiJXJW15K9gkriMm,0,0.752,0.292,9,-8.967,0,0.0928,0.843,0.0,0.1,0.621,89.831,audio_features,2mItCPWiJXJW15K9gkriMm,spotify:track:2mItCPWiJXJW15K9gkriMm,https://api.spotify.com/v1/tracks/2mItCPWiJXJW15K9gkriMm,https://api.spotify.com/v1/audio-analysis/2mItCPWiJXJW15K9gkriMm,187680,4
28,2012,29,Party Rock Anthem,LMFAO feat Lauren Bennett and GoonRock,5muxxHQQlE4tEwULYXqi1r,2,0.821,0.429,5,-12.014,0,0.0528,0.00285,0.00155,0.0755,0.176,129.994,audio_features,5muxxHQQlE4tEwULYXqi1r,spotify:track:5muxxHQQlE4tEwULYXqi1r,https://api.spotify.com/v1/tracks/5muxxHQQlE4tEwULYXqi1r,https://api.spotify.com/v1/audio-analysis/5muxxHQQlE4tEwULYXqi1r,261839,4
29,2012,30,Too Close,Alex Clare,4sK96UnGx3NjBaqvfTG2dm,56,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,audio_features,4sK96UnGx3NjBaqvfTG2dm,spotify:track:4sK96UnGx3NjBaqvfTG2dm,https://api.spotify.com/v1/tracks/4sK96UnGx3NjBaqvfTG2dm,https://api.spotify.com/v1/audio-analysis/4sK96UnGx3NjBaqvfTG2dm,256560,4
30,2012,31,Part of Me,Katy Perry,215u6ai5KgMWWsIdgFphyK,0,0.672,0.918,5,-4.605,1,0.036,0.000236,0.0,0.0668,0.772,130.042,audio_features,215u6ai5KgMWWsIdgFphyK,spotify:track:215u6ai5KgMWWsIdgFphyK,https://api.spotify.com/v1/tracks/215u6ai5KgMWWsIdgFphyK,https://api.spotify.com/v1/audio-analysis/215u6ai5KgMWWsIdgFphyK,216360,4
31,2012,32,"Young, Wild & Free",Snoop Dogg and Wiz Khalifa feat Bruno Mars,5HQVUIKwCEXpe7JIHyY734,74,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,audio_features,5HQVUIKwCEXpe7JIHyY734,spotify:track:5HQVUIKwCEXpe7JIHyY734,https://api.spotify.com/v1/tracks/5HQVUIKwCEXpe7JIHyY734,https://api.spotify.com/v1/audio-analysis/5HQVUIKwCEXpe7JIHyY734,207333,4
32,2012,33,We Are Never Ever Getting Back Together,Taylor Swift,5YqltLsjdqFtvqE7Nrysvs,70,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,audio_features,5YqltLsjdqFtvqE7Nrysvs,spotify:track:5YqltLsjdqFtvqE7Nrysvs,https://api.spotify.com/v1/tracks/5YqltLsjdqFtvqE7Nrysvs,https://api.spotify.com/v1/audio-analysis/5YqltLsjdqFtvqE7Nrysvs,193147,4
